Nama Makanan,Berat(gr),Kalori,Unit
Asinan,250,208,2.5
Gado-Gado,150,295,3.75
Hamburger,125,257,3.25
Kerupuk Palembang,50,168,2
Kerupuk Udang,20,72,1
Ketoprak,250,153,2
Mie Bakso,200,302,3.75
Pempek,200,384,4.75
Pizza,125,163,2
Rawon,160,331,4
Sate Kambing,180,729,9
Sayur Krecek,175,249,3
Siomay,100,361,3.75
Soto Ayam,100,101,1.25
Soto Betawi,150,135,1.75
Soto Makasar,150,525,6.5
Soto Padang,100,127,1.5
Soto Sulung,150,86,1
Toge Goreng,250,243,3
Tongseng,120,331,4
Alpukat,100,85,1
Anggur,125,60,0.75
Apel,160,92,1
Belimbing,160,80,0.75
Durian Montong,100,134,1.5
Jambu Air,60,35.4,0.5
Jambu Biji,320,157,2
Jeruk Sunkist,200,40,0.5
Mangga Harum Manis,300,90,1
Melon,120,46,0.5
Nanas,200,104,1.25
Pepaya,100,46,0.5
Pir,200,80,1
Pisang Mas,125,11,1.5
Rambutan,100,69,0.75
Salak,150,63.6,0.75
Sawo,100,92,1.75
Sirsak,125,55,0.25
Semangka,150,48,0.5
Bihun Goreng,150,296,3.75
Bubur Ayam,200,165,2
Jagung Rebus,250,90.2,1
Kentang Goreng,150,211,2.75
Kentang Rebus,200,166,2
Ketan Putih,120,217,2.75
Ketupat,160,32,0.5
Lontong,200,38,0.5
Mie Instant,50,168,2
Nasi Goreng,100,267,3.25
Nasi Putih,100,175,2.25
Roti Tawar,50,128,1.5
Singkong Rebus,100,146,1.75
Spaghetti,300,642,8
Abon Sapi,50,158,2
Ati Ayam Goreng,50,98,1.25
Ayam,150,194.5,2.5
Ayam Goreng Kecap,75,358.8,4.5
Ayam Kentucky Sayap,150,116,1.5
Ayam Panggang,100,164.3,3.25
Ayam Panggang,80,385.6,4.75
Ayam Pop,200,265,3.25
Bakso Daging Sapi,100,260,3.25
Chiken,50,63.6,0.75
Daging Balado,50,147,1.75
Daging Cincang Bulat,50,168,2
Dendeng Balado,40,338,4.25
Empal Daging,100,147,1.75
Gulai Ayam,100,165.3,2
Gulai Cumi,100,183,2.25
Gulai Kepala Ikan Kakap,320,218.8,2.75
Gulai Limpa,60,294,3.5
Gulai Tunjang,80,251,3
Ikan Bandeng Goreng,160,180.7,2.25
Ikan Bawal Goreng,120,113.3,1.5
Ikan Kembung Balado,125,236.7,3
Ikan Lele Goreng,60,57.5,0.75
Ikan Mas Pepes,200,143.5,1.75
Ikan Teri,50,213,2.75
Ikan Tuna Goreng,60,110,1.25
Kakap Goreng Tepung,80,119,1.5
Kakap Panir,75,220,2.75
Kerang Rebus,100,59,0.75
Keripik Tempe,25,68,0.75
Perkedel Jagung,50,108,1.25
Perkedel Kentang,50,123,1.5
Pempek,200,384,4.75
Pu Yung Hai,50,114,1.5
Rendang Daging,75,285.5,3.5
Sambal Goreng Ati,100,127,1.5
Sambal Goreng Tempe,50,116,1.5
Sambal Goreng Tempe Teri,150,276,3.5
Sate Ayam,100,466,6
Sayur Krecek,175,249,3
Semur Ayam,50,177.8,2.25
Sop Sapi,260,227,2.75
Soto Ayam,100,101,1.25
Soto Betawi,150,135,1.75
Soto Makasar,150,525,6.5
Soto Padang,100,127,1.5
Soto Sulung,150,86,1
Tahu Bacem,100,147,1.75
Tahu Goreng,100,111,1.5
Tahu Isi,150,124,1.5
Tahu Sumedang,100,113,1.
Acar Kuning,75,53,0.5
Bening Bayam,50,18,0.25
Cah Jagung Putren,100,59,0.75
Cah kacang Panjang,100,72,1
Cah Labu Siam,100,41.6,0.5
Gudeg,150,132,1.75
Sayur Asam,100,88,1
Sayur Lodeh,100,61,0.75
Setup Kentang Buncis,100,95,1
Sop Ayam Kombinasi,100,95,1.25
Sop Bayam,50,78,1
Sop Oyong Telur Puyuh,100,134,1.75
Tumis Buncis,100,52,1.5
Tumis Daun Singkong,120,151,1.75
